id,科目,章,問題種別,年度,問題番号,曜日グループ,問題文,解答,解説
51,生保1,5,小問,,,6,"⑥以下の空欄に適切な語句を記載せよ。

変額年金保険は、本質的には【①】に設定された投資信託であり、本来は【②】によって受け取る年金額もしくは解約時・死亡時の受取額が変動するものであるが、これに何らかの【③】を付与することで保険商品と位置付けられるものとなる。
　現在、代表的な最低保証には、死亡時の元本保証を行う【④】あるいは年金開始時のような生存時の最低保証を行う【⑤】がある。さらにプレーンな【⑤】は、【⑥】または【⑦】に分類される。また【⑥】は、年金開始後も特別勘定にとどまるものと一般勘定に移行するものに分類される。
　【⑤】では、最低保証の行使時点を契約者が選択可能な途中引き出し額保証をする商品も登場している。
　これらの最低保証は一種のオプション（原資産価格のダウンサイドの保護という意味では【⑧】）に相当するが、【⑨】点や、【⑩】といった点が、市場で取引される金融オプションとの大きな違いである。","①特別勘定 ②運用成果 ③最低保証
④最低死亡給付保証 ⑤最低生存給付保証 ⑥年金受取額保証
⑦年金原資保証 ⑧プットオプション
⑨オプションの行使条件が現資産価格と行使期日だけでは記述できず、被保険者の生死が関与する
⑩解約時におけるオプション価値の清算がない",
52,生保1,5,小問,,,6,⑥変額年金保険の最低保証と市場で取引されている金融オプションとの違いを説明せよ。,変額保険の最低保証は、オプションの行使条件が現資産価格と行使期日だけでは記述できず、被保険者の生死が関与する点や、解約時におけるオプション価値の清算がないといった点が、市場で取引されている金融オプションと異なる。,
53,生保1,5,小問,,,6,⑥最低保証のバリエーションの一つとしてあるラチェット型、ノックアウト型について説明せよ。,"「ラチェット型」
運用実績が好調で特別勘定の積立金が一定水準を上回れば、その度に最低保証額が切りあがっていき、その後運用実績が悪化しても最低保証額が下がらないタイプ。
これはオプション価値を引き上げる効果を持つが、特別勘定の運用実績が良好な場合の解約抑止すなわち保険関係費用収入の増加にも寄与することが期待される。

「ノックアウト型」
特別勘定残高の目標水準超過あるいは下限(フロア)抵触で、自動的に特別勘定から一般勘定に全部または一部の金額をキャッシュアウトしたオプションが消滅するタイプ。
これはオプション価値の引き下げ効果がある一方で､特別勘定での滞在時間が減ることから保険関係費用収入の減少効果もある。",
54,生保1,5,小問,,,7,"⑦変額年金保険の最低保証リスクに関する下記の事項について、簡潔に説明しなさい。
・販売側のニーズも踏まえた最低保証料率の設定、保険リスクで留意すべき点
・内部留保を蓄積してリスクに備えるという従来型のリスクコントロールに向かない理由","〇販売側のニーズも踏まえた最低保証料率の設定、保険リスクで留意すべき点
・投資信託の手数料慣行に倣った、年齢・性別を問わない「一律の最低保証料率」を設定している。
・特に、死亡率は年齢により大きな開きがあることから、年齢・性別分布の実際と仮定の乖離に起因するミスプライシング・リスクに留意する必要がある。

〇内部留保を蓄積してリスクに備えるという従来型のリスクコントロールに向かない理由
・変額年金保険の最低保証のように環境にセンシティブな商品では収支相当の原則だけに依存することは難しい。プライシングだけでは、原資産の価格変動やその他パラメータの変動リスクを全て吸収することは以下の点から構造上困難である。
・一般的な変額年金保険では最低保証がインザマネーになるほど特別勘定残高比例の保険関係費用が減少するミスマッチ（ポジティブ・フィードバック）構造があること
・金融リスクでは一般に契約間の分散効果は働かず原資産価格変動による影響は一方向に振れやすい。
・以上から、変額年金保険は内部留保を蓄積してリスクに備えるという従来型のリスクコントロールには不向きな商品であり、可能な限り市場整合的な前提による経済価値ベースのプライシングを併用し、金融市場におけるリスクヘッジの可能性を担保しておくことが望ましい。",
55,生保1,5,小問,,,7,⑦変額年金保険の最低保証に係る保険リスクのうち解約リスクの留意点について簡潔に説明しなさい。,"・解約率は死亡率以上に大きな影響を持つ保険リスクファクターであり、特に低金利環境下での年金原資保証は極めて高価なオプションであり、解約率の想定なしには実現不可能な場合がある。
・インザマネーの度合いが深くなると解約率が低下し、アウトオブザマネーの度合いが深くなると解約率が上昇する傾向がある。
・アメリカン・オプションの期限前行使のような最適行使を想定しプライシングすることも可能であるが、仮に最適行使を前提とすると最低保証の価値は跳ね上がり、それに見合う最低保証料は、最適行使の意図を持たない一般の消費者にとって受け入れ難い非現実的な水準となる可能性が高い。
・実務では、契約者の非合理的な解約行動を織り込んで、経過時間やマネーネス等に応じた決定論的なモデルが用いられることが多い
・が、販売開始からの期間も短く、商品性も多様であるため、解約率モデルのベースとなる統計が死亡率ほど頑健的なものとはいえないことに注意が必要である。
・発売後には、解約率実績のモニタリング（想定する解約率と解約実績との比較）を行い、当初想定との乖離が観測される場合には、原因の考察を行うなど注意が必要である。
．なお、低保証料率は特別勘定資産の残高比例で日々徴収されることが一般的であるため、特別勘定の資産が減少し危険保険金額が増加するほど最低保証料収入が減少し、特別勘定資産が増加し危険保険金額が減少するほど最低保証料収入が増加するというミスマッチ構造となることに注意が必要である。",
56,生保1,5,小問,,,7,⑦「会計価値(責任準備金)のヘッジ｣の概要およびヘッジが困難な点について､簡潔に説明しなさい。,"○概要
最低保証の会計価値(監督目的会計では責任準備金)の変動､すなわち損益計算書に現れるリスクをヘッジ

○会計価値のヘッジが困難な点
①最低保証の経済価値は､将来の給付と保証料収入のネットポジションであることから原理的に正または負の値を取りうる｡
　 一方で､責任準備金は制度上負の値を取らないことから､デリバティブでの複製は極めて困難となる。
②責任準備金とデリバテイブの評価のパラメータは一般には一致しないため､デリバテイブによる責任準備金の複製は困難である。
③標準責任準備金の枠組みの中で最低保証の責任準備金の基礎率はロック･インされ､金利やボラティリティが固定されることから､先物以外のヘッジは使いづらい",
57,生保1,5,小問,,,7,⑦VaRとCTEについて､特徴を含めてそれぞれ簡潔に説明しなさい。,"●VaR･CTEの説明
○数式の場合
･VaR(α)=inf｛x ∊ R ： F(x)≧1－α｝
･CTE(α)=E[X｜VaR(α)≧X]
○文章の場合
･VaRはある一定の確率の範囲内(信頼区間)でどの程度の損失が発生する可能性があるかを表す指標。
･(_ＣＴＥは信頼区間を超える部分の期待損失。
●VaR･CTEの特徴
･VaRは直観的な把握が容易で扱いやすい。
･VaRは信頼区間外のリスクの規模を把握できないためテイルの長いリスクの把握に向かない。
（･一方で､CTEはテイルの長いリスクの把握も可能である。)
･VaRは凸性を満たさないことから分散効果の把握に潜在的弱点がある。
（･一方で､CTEは凸性を満たすコヒーレントリスク尺度である｡）
･CTEは通時一貰性がないため､多期間のリスク尺度として使用する場合､問題点が生じる。",
58,生保1,5,小問,,,7,⑦変額年金保険の規制で用いられている「リスク調整済み期待値アプローチ」について、概要及びメリット・デメリットを簡潔に説明しなさい。,"＜概要＞
 無裁定価格の導出のためのリスク中立測度を含む、広くリスク調整に相当する測度変換後の確率分布の下で期待値をとる方法
 リスク調整後の確率分布全体の情報を用いる。
 リスク調整は価値評価のためだけのもので、必要資本要件のためのリスク評価この価値の変動幅を見るものとして別の枠組みを用いることが一般的である。具体的には、所定の信頼水準で、モデル・パラメータの変動が価値に与える影響をリスクとして評価することが一般的である。
 評価方式自体には保守性が組み込まれていないため、責任準備金を保守的に評価するためには基礎率を保守的に設定する必要がある。
＜メリット・デメリット＞
 CTEの通時一貫性がないという問題が回避可能となる。
 ファットテイルの影響が小さい。
 シナリオテストで収束値を求めるとき、CTEアプローチほどは多くのシナリオを必要としない。
 デリバティブの評価と整合的
 評価結果に組み込まれる、保守性の程度が不明になる。",
59,生保1,5,小問,,,7,"⑦下の空欄に適切な語句を記載しなさい。
　一般的な変額年金保険では､保険会社には契約者の運用資産を管理する【①】と最低保証機能を担う【②】が同時に求められる。変額年金保険の最低保証機能と販売･事務経費を賄うため､【②】が【①】から最低保証料などの【③】を日々継続的に徴収する。
　最低保証料は【④】比例で日割りで徴収されることが一般的であるため､【①】資産が減少し【⑤】が高まるほど(インザマネーになるほど)最低保証料収入が減少し､【①】資産が増加し【⑤】が低下するほど(アウトオブザマネーになるほど)最低保証料収入が増加するというミスマッチ構造を有している。","① 特別勘定　② 一般勘定
③ 保険関係費用　④ 特別勘定資産の残高
⑤ 最低保証の本源的価値",
60,生保1,6,小問,,,7,"⑦団体生命保険の有する特質について、次の①～⑤の空欄に当てはまる適切な語句を記入しなさい。

団体生命保険は、そもそも団体を単位とする団体生命保険であり、その中には他の生命保険と異なるいくつかの特質を含んでいる。
○個人による危険選択の代わりに団体選択の原理が適用されている。
一般に団体定期保険では､個人ごとの医的診査を行わず､個人保険のような厳しい健康上の要請はない反面､個人ごとの保険金額は完全に自由に定めることはできず､【①】な基準の下に自動的あるいは任意の選択により定まる。
○団体保険は複数の【②】を１つの契約の下で保障する。
通常、雇用主もしくは団体の代表者が保険契約者となり、保険者との間で契約が結ばれ、【②】が契約の当事者になることはない。
○一括募集､文書募集を行うことや､商品内容の画一性による【③】の削減により､相対的に低い料率で大量の被保険者を保障する。
この削減による利益は､【④】が大きくなればなるほど大きくなる。
○個々の団体の死亡経験に基づく【⑤】に従う。
各団体の実際の経験がその団体の配当に直接反映される。","① 客観的　② 被保険者　③ 事務コスト（経費でも可）
④ 団体規模　⑤ 経験保険料率",
61,生保1,6,小問,,,7,⑦団体による危険選択において「グレッグの法則」として知られる留意点を５点あげよ,"･保険加入目的のための団体でないこと
･団体に加入脱退があること
･保険金額が客観的に決まること
･団体の一定以上の割合が加入すること
･管理が簡単であること",
62,生保1,6,小問,,,1,⑧団体定期保険における平均保険料率について簡潔に説明しなさい。,"＜概要＞
平均保険料率は、契約の締結時に各被保険者ごとに計算した総保険料を総保険金額で除して求める。この平均保険料率は、その団体の翌年の更新までの保険料率とするもので、原則として中途では変更しない。

＜メリット＞
事務コストの軽減を可能にし、低廉な費用で保障を提供するのに効果的な方法である。

＜留意点＞
任意加入の団体定期保険においては、若齢層が自分の年齢による保険料率よりも団体の平均保険料率が高いことの不公平感を持つ場合もある。",
63,生保1,6,小問,,,1,⑧団体生命保険の優良体割引について、留意点を3点、簡潔に説明しなさい。,"① いったん割引を行ったら死差損にならない限りその割引率を継続すること、また死差損を翌保険年度に繰り越すことができないことなどを考慮して、できるだけ大きい人数規模とすること。
② 割引を適用する団体と適用しない団体との間で費用負担の公平性が図られていること。(すなわち、適用団体と非適用団体の間で支払率(＝支払額÷純保険料)を同水準に保つこと)
③ 割引を行うことに実質的な意味があること。(当初は10％刻みで、現在は5％刻みで区分している。)",
64,生保1,6,小問,,,1,"⑧団体生命保険の経験料率について、以下の空欄を埋めなさい。
団体生命保険における経験料率とは、初年度は被保険者団体等の区分による【①】別、【②】別に定められた料率を基準にして団体の料率を定めるが、次年度以降はその団体の【③】に応じて保険料率を増減して調整する方式である。経験料率は、保険会社の経験から割り出された「【④】部分」と称される部分と、その団体自身の【③】からの2つのベースとなる。",①男女 ②年齢 ③死亡実績 ④プーリング,
65,生保1,6,小問,,,1,"⑧｢保険会社向けの総合的な監督指針」に規定されている団体保険又は団体契約の商品審査上の留意点について、以下の空欄を埋めなさい。

IV-1-14団体保険又は団体契約の取扱い
団体保険又は団体契約については、以下の点に留意して審査することとする｡
(1) 団体及び被保険団体の範囲が、明確に定められているか。
(2) 【①】､【②】及び【③】､【④】や【⑤】の状況等に照らし､【⑥】や【⑦】等を目的として団体要件(例えば､一契約の【⑧】､【⑨】､【⑩】等)を定める必要がある場合､適切な団体要件を定めているか。また、その場合に、被保険団体の区分(全員加入団体､任意加入団体）及び団体の区分に応じて、明確に定められているか。
(3) 職域を基礎とする団体保険又は団体契約において､【⑪】及び【⑪】の配偶者等(以下､本項において｢【⑪】等｣という｡）を引き続き被保険団体に含める場合は､以下の点を満たしているか。
① 団体が､【⑪】等に係る【⑫】の把握及び保険料の収納管理を適切に行うための事務処理能力を有していること。
② 【⑪】等を被保険団体に含めること及び､これに伴って将来的に想定される【⑪】等の占める割合が上昇することによる影響を踏まえ､保険引受ﾘリスクに見合った【⑬】又は【⑭】等の設定となっていること。","① 商品特性　② 募集管理態勢
③ 契約管理態勢　④ 保険引受
⑤ リスク管理　⑥ モラルリスクの排除
⑦ 保険収支の安定　⑧ 最低被保険者数
⑨ 最高保険金額倍数　⑩ 最低加入率
⑪ 退職者　⑫ 異動状況
⑬ 保険料　⑭ 配当方式",
66,生保1,7,小問,,,1,"⑧保険業法第三条に関する以下の文章の空欄を埋めなさい

(免許)
第三条　保険業は、内閣総理大臣の免許を受けた者でなければ、行うことができない。 
２ 　前項の免許は、生命保険業免許及び損害保険業免許の二種類とする。 
３ 　生命保険業免許と損害保険業免許とは、同一の者が受けることはできない。 
４ 　生命保険業免許は、第一号に掲げる保険の引受けを行い、又はこれに併せて第二号若しくは第三号に掲げる保険の引受けを行う事業に係る免許とする。 
一 　人の【①】又は【②】（当該人の余命が一定の期間以内であると医師により診断された身体の状態を含む。以下この項及び次項において同じ。）に関し、【③】の保険金を支払うことを約し、保険料を収受する保険（次号ハに掲げる死亡のみに係るものを除く。） 
二 　次に掲げる事由に関し、【③】の保険金を支払うこと又はこれらによって生ずることのある当該人の損害をてん補することを約し、保険料を収受する保険
イ　人が【④】にかかったこと。
ロ　【⑤】を受けたこと又は【④】にかかったことを原因とする人の【⑥】
ハ　【⑤】を受けたことを直接の原因とする人の【⑦】
ニ　イ又はロに掲げるものに類するものとして内閣府令で定めるもの（人の死亡を除く。）
ホ　イ、ロ又はニに掲げるものに関し、治療（治療に類する行為として内閣府令で定めるものを含む。）を受けたこと。
三 　次項第一号に掲げる保険のうち、【⑧】であって、前二号に掲げる保険に係るもの ","① 生存　② 死亡　③ 一定額
④ 疾病　⑤ 傷害　⑥ 状態
⑦ 死亡　⑧ 再保険",
67,生保1,7,小問,,,1,⑧医療保険の予定発生率および予定平均給付額の決定は､死亡保険の予定死亡率に比べ困難であるといわれている｡その理由を挙げ､簡潔に説明しなさい。,"① 医療保険の有する危険性は、死亡に比べて発生がより主観的であること。
 障害状態の存在や治療の必要性は、死亡の事実ほど明確には確定しない。
 また、災害死亡給付については、その死亡が本当に事故を原因とするものか否かも判断しなければならない。
② 医療保険の経験率には、死亡保険の経験率が有するものとは本質的には異なること　　　
 経済・社会動向に対してより顕著に反応すること
 医療技術の変化、医療費水準の高度化及び医療機関の利便性の拡大によって影響を受けること
③ 統計データが十分でない場合があること
 医療保険の給付にはさまざまな種類があるため、すべての給付に対して十分な量のデータを蓄積するには長期の観察が要求される。
 また、医療保険の経験値も日を追って変化するため、同じ名称の統計データでも中身が変わっている場合もある。",
68,生保1,7,小問,,,1,⑧不担保期間とは何か簡潔に説明せよ,入院開始から一定の期間を保障の対象としない場合、その期間を不担保期間という。,
69,生保1,7,小問,,,1,⑧待期間とは何か簡潔に説明し、これを使用した商品を設計するメリット、留意点を記載せよ。,"＜説明＞
 一定の範囲内で責任開始期を契約日から遅らせる場合、その期間を待期間という。
 被保険者があらかじめ疾病入院することが確実な場合、それを隠して、あるいは被保険者が知らないために契約に加入し、契約直後に疾病入院し、給付金を請求する場合がある。
 前者の場合は危険選択によって契約締結時に排除し、後者の場合には責任開始前の発病ということで約款上支払免責とするなどの方法があるが、被保険者との摩擦やモラルリスクの混入を排除するための制度の一つとして待期間を設ける方法がある。
 この制度は免責期間ともいわれ、がん保険などの場合に使用されることが多い。

＜メリット＞
モラルリスクの混入を抑えることができる。

＜留意点＞
待期間の制度は、善意の大多数の契約者に対しても契約直後の保険事故発生に対して給付をしないことになる。したがって、この制度を設ける商品の選択は消費者の理解を得られるものに限るなど、慎重な判断が求められる。",
70,生保1,7,小問,,,2,⑨入院給付における給付限度とは何か簡潔に説明しなさい。,モラルリスク回避等の観点から入院給付日数に限度を設けるもので、1入院の限度(60日・120日等)および通算での限度設定(700日・1000日等)がある。,
71,生保1,7,小問,,,2,"⑨入院保険における既発生未報告支払備金といわれる入院責任準備金の概要、及び両者の関係を簡潔に説明しなさい。
また、入院率h、平均給付日数Tとしたときの入院責任準備金の算式を記載しなさい。
(※不担保期間はないものとする。入院率等は年齢によらないものとする。)","・既発生未報告支払備金は、保険会社が決算期においてまだ支払事由の発生の報告を受けていないが、保険契約に規定する支払事由が既に発生したと認める給付について、その支払いに必要な金額であり、支払備金の一部として積み立てるもの。
・入院責任準備金は、事業年度をまたぐ入院給付の蓋然性を計算し、それを責任準備金の一端として計上するもの。
・既発生未報告支払備金の対象である請求は事業年度内に退院の時期を迎えており支払事由が確定しているのに対して、入院責任準備金の対象となる請求は事業年度末時点ではまだ入院が継続しているという違いがある。
・入院責任準備金の算式は、h∙T∙T/365",
72,生保1,7,小問,,,2,⑨第三分野保険のストレステストについて簡潔に説明しなさい。," 毎決算期に、商品毎に予め設定した予定事故発生率が十分なリスクをカバーしているか確認するために実施する。
 テスト期間(10年間以上)について、「(A)保険事故発生率に対するリスクの99％をカバーする水準」、「(B) 保険事故発生率に対するリスクの97.7％(2σ)をカバーする水準」を予測し、「(P)予定発生率に基づく保険金額」と比較する。
 A,B,Pとの大小関係に応じて次の通り危険準備金を積み立てる。
① P>A ⇒　保険料積立金が十分と判断
② A>P>B ⇒　保険料積立金が不十分として、「A－P」を危険準備金として積み立て　る。
③ A>B>P ⇒　保険料積立金が不十分として、「A－B」を危険準備金として積み立てた上で、保険料積立金が不足する恐れがあると判断し、負債十分性テストを実施
 保険事故発生率の予測におけるモデル設定は、保険会社が合理的に見込む
 原則として基礎率を同じくする契約区分ごとに実施する
 ストレステストの合理性・妥当性、実施状況の開示を行う。
※詳細は保険会社向けの総合的な監督指針も参照",
73,生保1,7,小問,,,2,⑨第３分野保険に関する「負債十分性テスト」について簡単に説明せよ,"実績等をもとに将来(10年間)の収入・支出を推計し、資産が負債である保険料積立金を下回ることがないか確認。
・基準年度は、資産＝保険料積立金としてスタート
・保険料積立金(負債)は予定基礎率で計算
・資産は実績等から推計した各年の収入・支出を利用して計算
※保険金等の支出は保険事故発生率に関するリスクの97.7％をカバーする水準を設定
・保険料積立金を資産が下回った場合は積立不足と判断
※不足額の現在価値の最大値を基準年度において積み立てる必要があることを、意見書に記載しなければならない。",
74,生保1,7,小問,,,2,"⑨保険会社向けの総合的な監督指針「Ⅳ－4第三分野」のうち基礎率変更権に関する、次の文章の①～⑤に適切な語句を記入しなさい。

Ⅳ－4－1 基礎率変更権の設定について
（1） 【省略】
（2）基礎率変更権行使基準の設定にあたっては、以下の要件を全て満たしているか。
①予定発生率に対する【①】の状況を示す指標については､予定発生率を変更して保険料又【②】を変更するという趣旨に適合するものとして､次に掲げるいずれかの割合又は当該割合に準じたものとなっているか。
（ｱ)予定発生率に対する【①】の割合
（ｲ)保険料収入(責任準備金繰入･戻入調整をした当該年度の【③】と【④】の合計）に対する保険金の支出額の割合
②①に掲げる指標の設定にあたっては､【①】が悪化した場合の､当該保険契約の損益見込みに照らして、適切な水準となっているか。
③①に掲げる指標に達した後、保険料又は保険金の変更を行う手続きが、明確になっているか。
(3） 【①】の管理や基礎率変更権の行使の【⑤】を行う態勢が整備されているか。","① 実績発生率　② 保険金　③ 危険保険料
④ 付加保険料　⑤ 意思決定",
75,生保1,7,小問,,,2,⑨「保険会社向けの総合的な監督指針」の「Ⅳ－4－2 基礎率変更権を行使する認可申請の取扱い」に規定されている、第三分野保険の基礎率変更権の行使のための申請があった場合の審査における留意点を箇条書きで4点挙げなさい。," 約款に定める基礎率変更権の規定(基礎率変更権行使基準等)に反しないものとなっているか。
 社内において定められている基礎率変更権の行使の手続きが遵守されているか。
 契約者に対して、契約締結時にあらかじめ十分な説明が行われ、その後も基礎率変更権行使基準に該当するかどうかの情報開示が定期的に行われていたか。
 変更後の予定発生率が、実績発生率に照らして保険数理に基づく合理的かつ妥当なものとなっているか。",
76,生保1,7,小問,,,2,⑨死亡保障が小額の医療保険(単品)を開発する場合､いわゆるトンチン性の問題から解約返戻金が死亡保障の金額を超過する状態が発生する恐れがある｡このような状態を回避するための商品設計･価格設定の側面から考えられる対応策を3つ挙げなさい。,"･死亡保険金額を解約返戻金より多く設定する方法
･解約返戻金を死亡保障で抑えてしまうことを､保険料計算などに折り込むことなく約款上の文言としてこれを制定する方法
･保険料計算において予定解約率を用いる方法
･保険料計算において解約返戻金部分を死亡給付の一部とする方法",
77,生保1,9,小問,,,2,⑨再保険の目的について、伝統的な目的と非伝統的な目的を列挙せよ,"＜伝統的な目的＞
① 元受会社の保有限度額を超過する額を出再する。
② 巨大災害などに起因する保険支払いの集積リスクを移転する。
③ 経験のない保険引受リスクを移転する。
④ 再保険料率をもとに競争的な元受料率を提供する。

＜非伝統的な目的＞
① 財務諸表の改善
１． 新契約費の抑制
２． 収益の安定
３． 収益認識のタイミングの変更
４． ソルベンシーマージン比率の改善
５． ＲＯＥ・ＩＲＲ等の収益率の向上

② 特定のビジネスゴールの達成
１． 増資の抑制
２． 課税所得の平準化
３． 格付けの引上げ・安定
４． 円滑な買収
５． 円滑な株式会社化",
78,生保1,9,小問,,,3,"⑩再保険の目的について、以下の文章の空欄に適切な語句を記入しなさい。

　再保険の目的は、保険者が保険責任を移転する動機によって分類される。
　伝統的な目的としては､保険金支払の変動が【①】および【②】に与える影響を軽減すること､元受会社にとって経験のないリスクが【①】および【②】に与える影響を軽減すること、および再保険料率をもとに競争的な元受料率を提供することが挙げられる。
この目的のために移転されるリスクは､死亡率･発生率などの【③】である。
　非伝統的な目的としては、財務諸表の改善と特定のビジネスゴールを達成することが挙げられる。再保険を活用することにより得られる効果には、保険リスクを移転することによる【①】の安定化の他､【④】の抑制､収益認識タイミングの変更､【⑤】の改善、ROE,IRR等の向上が挙げられる。また、新設会社や新契約の急増している会社にとっては、【④】の抑制により【②】の減少および【⑥】の必要性を抑制することにつなげられる｡また､【①】の安定は､【⑦】の平準化につながる。","① 収益　② 資本　③ 保険引受リスク
④ 新契約費　⑤ ソルベンシーマージン比率　⑥ 増資
⑦ 課税所得",
79,生保1,9,小問,,,3,⑩集積リスクの移転を目的とする生命再保険について簡潔に説明しなさい。,"･集積リスクとは､巨大災害等により一時に多額の保険金支払が発生するリスクである｡集積リスクは､リスク分散等の通常の手法では管理が困難であることから､再保険によるリスク移転が用いられることがある。
・その際は､事務の簡便さやリスク移転効果の高さから､非比例式再保険の一種であるカタストロフ･エクセスオブロス･カバー(CatCover)が用いられることが多い。
･CatCoverは死亡率等の発生率のみを移転し､事由は災害に限定される。
･再保険料率は保有保険金額に応じて定められ､保険期間は1年である。
．引受可能な再保険者が限られていることから､再保険料率の高騰や引受再保険者の財務状況には留意が必要である。
．また､ソルベンシー･マージン基準のﾘｽｸ計算には影響を与えない。",
80,生保1,9,小問,,,3,"⑩集積リスクの移転を目的とする生命再保険について、以下の空欄を埋めなさい。

・集積リスクとは、巨大災害等により一時に多額の保険金支払が発生するリスクであり、リスク分散等の通常の手法では管理が困難であることから、再保険によるリスク移転が用いられることがある。その際は【①】や【②】から､非比例式再保険の一種である【③】が用いられることが多い。
・【③】は死亡率等の発生率のみを移転し､事由は災害に限定される｡再保険料率は保有保険金額に応じて定められており、保険期間は1年である。引受可能な再保険者が限られていることから、【④】や【⑤】には留意が必要である。","①・②
事務の簡便さ（再保険事務が比例式再保険と比較して非常に簡便)、
リスク移転効果の高さ（ソルベンシーマージンのリスク計算に何も影響を与えない、集積リスクの移転には最も有効な再保険） 等
③ エクセスオブロス・カバー(Cat Cover)
④・⑤
再保険料率の高騰、
カバー（再保険）の提供が受けられなくなること、
引受再保険者の財務状況（保険事故発生時に確実に保険金が支払われるような出再先の選定）　等",
81,生保1,9,小問,,,3,⑩比例式再保険と非比例式再保険について概要を簡潔に説明せよ,"＜比例式再保険＞
再保険契約における支払義務が、元受契約の保険約款によって定義した保険金支払要件と同一になっている再保険のこと。

＜非比例式再保険＞
元受契約と再保険契約の保険金支払要件が異なった形態で、元受契約群団の保険責任の一部を移転する再保険のこと。",
82,生保1,9,小問,,,3,"⑩次の再保険の方式の分類方法について、簡潔に説明しなさい。
①比例式・非比例式（保険責任の分担方法による分類）
②自動再保険・任意再保険（契約手続面による分類）
③サープラス方式・クォータシェア方式（保有・出再部分の区分方法による分類）","①比例式再保険とは、元受契約で保険事故が発生し元受会社に保険金支払義務が生じたときに、再保険契約において再保険会社に対して再保険金の請求権が発生する再保険。非比例式再保険とは､元受契約の契約条件とは独立に再保険条件を定め､元受契約と再保険契約の保険金支払要件が異なった形態で、元受契約群団の保険責任の一部を移転する再保険
②自動再保険とは、再保険協約で予め再保険の範囲・条件を定めておき、元受会社はそれに該当したリスクを義務的に出再し、再保険会社はそれを義務的に受再する再保険。任意再保険とは、1リスクごとに元受会社が出再するか判断し、再保険会社はそれを受再するか判断する権利を有している再保険。
③サープラス方式とは、再保険協約で元受会社の保有額を予め定めておき、その額を超過した部分を再保険に付す方式。クォータシェア方式とは、再保険協約で元受会社の保有額を割合で予め定めておき、それを超過する部分を再保険に付す方式。",
83,生保1,9,小問,,,3,⑩再保険における「サープラス方式」と「ストップ・ロス方式」について説明し、両者の違いについて簡潔に説明しなさい。,"・サープラス方式とは、元受会社が契約を出再する場合、一定金額Ｒを決め、通算保険金額ＳがＲを超えるまでは元受会社が全額保有し、超過した場合には（Ｓ－Ｒ）を再保険会社に出再する方式である。
・ストップ・ロス再保険は、ある元受集団の一定期間の保険金支払総額ΣＳが、保険料収入総額ΣＰの一定割合αを超過した場合、再保険会社がその超過分（ΣＳ－α・ΣＰ）を補填限度額として定めた上限支払率βに対応する（β・ΣＰ－α・ΣＰ）を限度として再保険として支払う。
・サープラス方式は、比例再保険方式である一方、ストップ・ロス再保険は非比例再保険方式である。
・サープラス方式は個別危険が対象で、個々の生命保険契約に対し保険金額が高額による危険や欠陥度合が高度による危険が対象となる。
・ストップ・ロス再保険は集団危険が対象で、契約集団に対し、地震・飛行機事故など支払保険金が集積する危険や一定期間の死亡率が変動する危険が対象となる。
・ストップ・ロス再保険は、設立間もない生命保険会社で契約件数が少なく、死亡率が不安定である場合に効果的である。",
84,生保1,9,小問,,,3,⑩危険保険料式再保険について、その活用目的も含めて簡潔に説明しなさい 。,"①元受契約の保険種類に関わらず再保険契約が自動更新一年定期保険となっている再保険である。つまり、再保険料率は 一 年定期保険の料率が用いられる。
②再保険の付保の対象となるのは危険保険金額である。危険保険金額は、理論的には出再保険金額から消滅時の責任準備金を控除した金額であるが、単純化のために経過年数のみの関数による近似式を用いることが多い。
③単純な仕組みであり、事務管理も容易である。
④移転される保険責任は、死亡率等の発生率関係に限られる。
⑤元受会社の保有限度額を超過する額を出再する場合や、条件体契約に対し再保険会社から競争的な評点の提供を受ける場合に活用される。
⑥非伝統的な目的での活用方法としては、 保険関係リスク相当額を減少させること による ソルベンシー・マージン比率の改善があげられる。",
85,生保1,9,小問,,,3,"⑩危険保険料式再保険について、以下の空欄を埋めなさい。

　危険保険料式再保険は､元受契約の保険種類に関わらず再保険契約が【①】となっている再保険の形態であり､元受保険料率と再保険料率の間に直接の関係はない。【②】式再保険のなかでも単純な仕組みであり、事務管理も容易である。
　危険保険料式再保険で移転される保険責任は【③】に限られる。再保険の付保の対象となる危険保険金額は､理論的には出再保険金額から【④】を控除した金額であるが､単純化のために経過年数のみの関数による近似式を用いることが多い。
　主な活用方法として、元受会社の保有限度額を超過する額を出再する場合は【⑤】再保険で【⑥】方式が選択され､条件体契約に対し再保険会社から競争的な評点の提供を受ける場合は【⑦】再保険の【⑧】方式が選択されることが多い。","① 自動更新一年定期保険　② 比例
③ 死亡率等の発生率関係　④ 消滅時の責任準備金
⑤ 自動　⑥ サープラス
⑦ 任意　⑧ クォータシェア",
